order_id,customer_id,order_purchase_timestamp,order_approved_at
u6rPMRAYIGig,I74lXDOfoqsp,18-11-2017 12:29,18-11-2017 12:46
ohY8f4FEbX19,47TuLHF2s7X5,02-06-2018 17:13,02-06-2018 20:12
I28liQek73i2,dQ0dqI8Qwlj8,08-01-2018 11:01,09-01-2018 07:24
bBG1T89mlY8W,iQCmWhNkIczb,10-03-2017 10:24,10-03-2017 10:24
CYxJJSQS8Lbo,Dp2g6JH8tO5Z,02-12-2017 10:04,05-12-2017 04:13
kUkQCFPtDvrC,s18Fn5Tz7Jml,26-07-2018 21:40,26-07-2018 21:50
eV98svHRmPNG,9rXAwNe0G0m5,13-02-2018 06:49,14-02-2018 06:46
b2tsoISX5lnP,o3yCAPMIPtLj,09-07-2018 03:40,09-07-2018 03:50
O0D3th8M88nF,PHGrixjXAt4t,28-05-2018 23:23,28-05-2018 23:35
yBTGlSf8GGMV,K6lNXbhXbvwg,28-02-2017 17:28,28-02-2017 19:20
OoHJ0WBqlxln,WaitNYVtRT2x,15-03-2018 10:00,15-03-2018 10:15
qvrK7ROfp1w6,WDjs7f3Yv8Va,13-05-2017 22:52,13-05-2017 23:08
uNUwbkr3jhfD,ViMUFfeZLwv5,04-04-2018 12:42,05-04-2018 02:08
j4hiZpWSGa1T,ZdAOMosp5YDg,01-03-2018 14:58,01-03-2018 15:15
6J3ZtW3UMsR9,jVsS0bHgLHcJ,06-03-2017 13:56,07-03-2017 04:03
CKtqZeTFa6Ov,D1KiQOWblWjh,12-08-2018 12:16,12-08-2018 12:30
e7xeH7PfGWFM,I1orDozbJsZY,02-03-2018 17:58,02-03-2018 19:42
y7ICBanZzdHp,bincH34GAiat,25-02-2018 19:13,25-02-2018 19:27
bZFqy2PEMhhc,J534NgM03SXi,20-01-2018 19:51,20-01-2018 20:20
ub5scd3uMflH,11rzNuxGsM6E,22-02-2018 16:47,22-02-2018 17:10
yAmRuBPWp1vO,AJoqBQ1l9z0V,21-10-2017 18:50,21-10-2017 19:05
srKcniC9yOFm,M5goXy4LtmuO,28-08-2017 20:36,28-08-2017 20:50
2Jbr1MhEmkIs,eRIr8uMQixin,28-01-2017 20:01,28-01-2017 20:31
Tb14VgvCwPuw,ZOgCiosZBHhF,04-05-2018 23:18,04-05-2018 23:33
KKm2sesYGRq8,Do7ckrlRk5rx,05-04-2017 10:27,06-04-2017 10:42
dwJNR7yxYRLb,bjThJDPGWpGK,15-03-2018 10:35,15-03-2018 10:50
86uPyTFO0VnJ,x15nG700z7OG,10-06-2018 13:20,10-06-2018 13:37
KOTqFLF3sprZ,Xh2kQlpOqm8I,05-02-2017 17:24,05-02-2017 17:41
RQi6usDkH0z5,gqBYWjnoUV7B,04-10-2016 13:22,04-10-2016 13:47
lRPOThT61ZfO,kmlqsg9Gk5uQ,09-03-2018 20:28,09-03-2018 20:48
25pQorIsT9XG,smZvvNLvV8Ez,03-07-2017 17:41,03-07-2017 17:55
CA0KeXrOx4Va,eOL1qbT6GIl5,05-06-2018 18:48,05-06-2018 19:13
KnUNh8bnaKd9,8CH2KOo6b3iE,18-07-2018 16:35,18-07-2018 16:50
